user_name,user_id,comment_time,comment,comment_dianzan
717路明非,https://music.163.com/user/home?id=1342575332,2月8日 07:53,"你们偷偷学吧，我现在开始熬夜喝可乐吃零食不睡觉早点猝死，提前投胎抢到北京户口,到时候你们卷三辈子也卷不过我。",7781
于玖月-16,https://music.163.com/user/home?id=567140733,2月8日 11:13,同学,5902
吃了喜之狼当太空人,https://music.163.com/user/home?id=1514182711,2月8日 16:11,《关于寒假没开始就有人写完作业这件事》,3819
才不信惺惺相惜,https://music.163.com/user/home?id=3366142354,2月9日 08:53,��到底什么叫卷，我写得慢下课写写作业就被说卷。有的同学回家偷学写题非说到家就打游戏，搁这整得自己天才一样，到了班里嘲笑其他同学，“你每天那么卷也考不过我啊”。到底能不能分清楚，不是每个人都觉得这是玩笑，不明白卷的意思能不能不要脱口而出。,2926
zhangyinin-,https://music.163.com/user/home?id=2024232199,2月9日 14:28,一个人内卷，可能会考上一所好大学，一群人内卷，提高的只有分数线,1823
LiPeiLian,https://music.163.com/user/home?id=1893510516,2月9日 20:24,可是 现在的黑眼圈总比六月的红眼圈要好吧,1701
阿晴晴晴晴晴_,https://music.163.com/user/home?id=31419628,2月9日 10:29,#你可别卷了# 他强任他强，我睡我的床,1700
#NAME?,https://music.163.com/user/home?id=5073176806,2月8日 16:18,《关于寒假要结束了还有人作业没有开始这件事》,1140
海会有心事么,https://music.163.com/user/home?id=3250956243,2月9日 08:50,真有意思 别人的努力却被你们叫做内卷 你们不能阻止别人追求更好的生活,1129
SipSu小口酥,https://music.163.com/user/home?id=1305623305,2月8日 00:00,别卷啦！好好学习！好好工作！,987
hzn-1019,https://music.163.com/user/home?id=1712811593,2月9日 13:02,无意义的内卷只会让大家越来越疲惫 努力必须要有 但是要有度,947
限定士多啤梨Q,https://music.163.com/user/home?id=1580508594,2月8日 09:48,这世界要允许有普通人的存在,859
非洲大螃蟹,https://music.163.com/user/home?id=608238911,2月8日 22:16,我是一棵卷心菜 有卷死别人的心 但我菜,705
AiresPuth,https://music.163.com/user/home?id=551487519,2月12日 12:35,拜托这首歌是讲打工人啊 为什么这么多学生对号入座的…学生努力学习不叫卷呀 但是工作真的 内卷无效加班真没意思,680
Boss-Joh,https://music.163.com/user/home?id=1797485927,2月9日 09:28,要是投胎成为同学儿子咋办[西西发怒][西西发怒],577
云汐try,https://music.163.com/user/home?id=3868340087,5月12日 22:14,我啊，天天听这首歌，然后…边听边卷�,4
Sadgirlz,https://music.163.com/user/home?id=268175637,5月12日 21:30,是我想卷吗 是我想加班吗,3
就是小孔呀,https://music.163.com/user/home?id=2022393587,5月12日 14:16,每个人的想法不同，追求不同,0
日立RL,https://music.163.com/user/home?id=2139873064,5月11日 21:55,啊对对对,0
此用户已注销_6zk,https://music.163.com/user/home?id=130212061,5月11日 21:55,召唤出你了,0
此用户已注销_6zk,https://music.163.com/user/home?id=130212061,5月11日 21:54,草,0
日立RL,https://music.163.com/user/home?id=2139873064,5月11日 21:54,谢谢您,0
此用户已注销_6zk,https://music.163.com/user/home?id=130212061,5月11日 21:52,@日立RL,2
金珉奎是大狗勾,https://music.163.com/user/home?id=3255390971,5月11日 19:44,跟我同学简直一摸一样，我写作业的时候拿手挡我卷子说反内卷�我真服了,0
金珉奎是大狗勾,https://music.163.com/user/home?id=3255390971,5月11日 19:32,因为工作只有那么多，而学历高的人越来越多，为了变的更优秀而努力，九年义务教育不就是为了让整体学历提高吗，只能说社会进步了,0
金珉奎是大狗勾,https://music.163.com/user/home?id=3255390971,5月11日 19:30,这些都不能叫卷，因为优秀的人太多了，而名额有限，都拼了命的努力，只是努力的人多了，这些都是有效的,0
落水木木,https://music.163.com/user/home?id=281313312,5月11日 18:43,njnmn！,0
有钱哥哥对我笑,https://music.163.com/user/home?id=1476509447,5月11日 16:03,谁教我卷卷啊,0
北_方川,https://music.163.com/user/home?id=2017190515,5月11日 15:36,emmmm……还是喜欢十年前的歌词，这几年的歌词有待提高,0
长歌醉夜,https://music.163.com/user/home?id=99096242,5月10日 17:15,情绪收音机，相信我，冲就完事了！,0
如果风也遗憾,https://music.163.com/user/home?id=1870814290,5月10日 12:08,啊这,0
樱璃鸽鸽子,https://music.163.com/user/home?id=2109914110,5月10日 11:42,然后我还笑着说,1
咩也i-,https://music.163.com/user/home?id=338551584,5月10日 07:04,现在学生10点多也叫卷了？当年11点到家，学到凌晨,0
十五啥也没学成,https://music.163.com/user/home?id=4048417107,5月10日 00:35,[多多笑哭],0
WWw_SSS__iFwk,https://music.163.com/user/home?id=3950683797,5月9日 22:30,别人脖子上的痕迹是种的草莓，我脖子上的痕迹是晚上听歌睡觉勒的,1
会想过吗,https://music.163.com/user/home?id=3974766116,5月9日 21:22,一定会上岸的对吧,1
hzn-1019,https://music.163.com/user/home?id=1712811593,5月9日 16:38,是的！！！！,0
你的番茄炒蛋,https://music.163.com/user/home?id=1293051042,5月9日 01:23,恶意竞争又怎么样，谁愿意被卷走，嘴上说着不卷了，实际加着最晚的班、赶着最快的稿,1
Raina-韵,https://music.163.com/user/home?id=1890436446,5月8日 21:55,学生真的卷 大家卷分数线 还要有心眼那种学习了还不告诉别人,3
渡之海,https://music.163.com/user/home?id=572087873,5月8日 21:47,在教室刷题备考，随机听到这个，直接回宿舍,5
好好努力一年,https://music.163.com/user/home?id=494732894,5月8日 20:50,正在写1000题 开头就听到了一句你可别卷了,3
云顶之夏,https://music.163.com/user/home?id=261675207,5月8日 20:43,干完工作到点下班是正常，干不完工作到底下班到点下班也是正常，老板就只付出8小时前，有的人布置2个人活一个人干，你永远不可能到点干完下班！,0
Zsyaaan,https://music.163.com/user/home?id=313928500,5月8日 19:17,不会真有人把本就该挥洒汗水奋力一搏的青春抬杠成卷吧（指高中，不指大学捏）？,2
Zsyaaan,https://music.163.com/user/home?id=313928500,5月8日 19:15,can't agree anymore,0
Zzzlo_,https://music.163.com/user/home?id=1576585372,5月8日 15:20,她们也不是想躺平啦 她们是想通过放大别人来让别人忽视自己有多努力罢了。不过都习惯啦 我也没咋搭理她们 反正现在是学生又不是进入社会了 用不着谁惯着谁吧,2
八月葵葵-,https://music.163.com/user/home?id=1386234601,5月8日 13:28,每个人的追求不一样，她们想躺平就让她们好好躺，道不同不相为谋，少和这种影响自己的人打交道就好啦,1
我只是走个片场想吸引人注意,https://music.163.com/user/home?id=1476515128,5月8日 11:56,内卷盛行，有人偏要躺平 躺平=敷衍度日？ NO！ 躺平从不代表着不努力 而是不从大流 跟随自己的节奏 按自己喜欢的方式生活 人生，还是开心最重要 不是吗？,2
白莫愁何心配,https://music.163.com/user/home?id=5189623540,5月8日 07:36,但是有的时候真的有这样的人,0
4787-fei,https://music.163.com/user/home?id=4884523449,5月7日 22:43,哈哈哈哈哈,0
妍想睡觉_,https://music.163.com/user/home?id=6475232143,5月7日 17:33,“我们内卷是为了让自己活得更好。”,1
星仔-3-,https://music.163.com/user/home?id=6288480896,5月7日 14:13,卷是从这歌来的哦,0
十四欸-,https://music.163.com/user/home?id=1544106204,5月7日 10:19,吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼,0
TROYE-_s,https://music.163.com/user/home?id=363514349,5月7日 09:02,说的是工作，不是学生不是学生！！！！！,1
Zzzlo_,https://music.163.com/user/home?id=1576585372,5月6日 14:12,所以本来高效率的被她们一直说卷然后就变成了低效率。真的心累,0
leon李哈哈,https://music.163.com/user/home?id=476026612,5月6日 08:07,希望投稿顺利sci冲,0
方笑筋软绵绵,https://music.163.com/user/home?id=1523217712,5月5日 23:58,说的很好,0
Forever_J-07,https://music.163.com/user/home?id=4022131230,5月5日 19:44,[多多笑哭][多多笑哭],1
演唱会1111y,https://music.163.com/user/home?id=4909794560,5月4日 22:56,我不卷的好吧�,1
凊偲,https://music.163.com/user/home?id=3887995129,5月4日 16:28,我谢谢你啊,0
不曰疋人,https://music.163.com/user/home?id=345912602,5月4日 10:35,一出生就含着四合院的钥匙是吧？,1
川井立夏,https://music.163.com/user/home?id=3997152119,5月3日 23:14,生命不止，内卷不止,3
阿羽很乖喔,https://music.163.com/user/home?id=3378411090,5月3日 19:37,不明白自己课后刷刷题怎么就老被说内卷...考不过我跑过来说我卷，也没见你多看看书...,2
Ankadud,https://music.163.com/user/home?id=2070591316,5月3日 15:34,还是太年轻了你想想看高考有多难,1
恰巧罢了,https://music.163.com/user/home?id=1383720868,5月3日 15:03,有效率的把自己的事干完准时下班，下班时间到了你的同事还慢悠悠的干活。然后领导路过看看你，你会不会觉得自己没做错什么又好像哪里错了？,0
香榭_u,https://music.163.com/user/home?id=1327965720,5月3日 12:26,无法坠入爱河 也很类似,1
YeuXFeb0628,https://music.163.com/user/home?id=6274959323,5月3日 10:38,听着你可别卷了卷别人算不算双标,0
_边南_,https://music.163.com/user/home?id=99969924,5月3日 09:09,那你躺呗少年不识愁滋味,0
中间商不赚差价_,https://music.163.com/user/home?id=2061288144,5月3日 00:18,我就是那种完成老师布置的任务都会被说成搞内卷的人，真的会很无语，明明只是分内该做的事，为什么莫名其妙又要背上这么个罪责。�,0
一起捞月亮ovo,https://music.163.com/user/home?id=6391794679,5月2日 21:49,我只是想在人群中熠熠发光,0
熊雄簪,https://music.163.com/user/home?id=4001285147,5月2日 19:41,你以为中考比高考简单？中考50%，高考60%,0
熊雄簪,https://music.163.com/user/home?id=4001285147,5月2日 19:41,分数线啊，查查分数线飙到哪去了,0
养一个月亮yq,https://music.163.com/user/home?id=1886100095,5月2日 16:06,救命我在学习 突然听到有人在我耳朵旁说 你可别卷了,1
账号未注销_m,https://music.163.com/user/home?id=1927573445,5月2日 09:42,@演唱会1111y @我会上岸的i @wlpspcy,0
X5Y-D,https://music.163.com/user/home?id=1537326643,5月2日 00:38,为什么有些人觉得正常的学习就是卷呢,0
AiresPuth,https://music.163.com/user/home?id=551487519,5月1日 11:31,是这个意思 很多人都在杠我 真的哭了 我没有说学生不卷 但是自己付出更多努力能收获更好的结果 已经比工作上某些不论付出再多努力 结果都不会有改变 的事情好很多了 而且这首歌讲的不就是这种事嘛,1
Bluebeiry,https://music.163.com/user/home?id=1699583507,5月1日 10:35,五一假期；我不回家，留学校卷死你们,0
无隅霁月光,https://music.163.com/user/home?id=2045684474,5月1日 10:02,确实确实,1
修勾恋爱极,https://music.163.com/user/home?id=3810013939,5月1日 02:16,7:30的早自习被提到6:30，9:30晚自习下课，都回寝室写到12:00，别人起了我不可能晚啊，别人下课不离座椅我也只能继续写啊，别人不睡我也不敢睡啊，稍微放松一点就被卷死了,0
修勾恋爱极,https://music.163.com/user/home?id=3810013939,5月1日 02:11,你以为学生不是吗？补习班和私教不是只有一个学生上了，成绩普遍提高，名次没变，分数线也提高了，你说不算吗,0
我将统治世界,https://music.163.com/user/home?id=1533292222,4月30日 09:29,哈哈哈哈哈绝了,0
念來過倒會都五百二,https://music.163.com/user/home?id=3402507254,4月30日 00:33,卷王说这个话,0
爱意谱写晚风-,https://music.163.com/user/home?id=3625412235,4月29日 22:14,卷卷走起,0
愛情使人腦殘,https://music.163.com/user/home?id=423880970,4月29日 20:50,不用在意啦，被说就当别人嫉妒我优秀，我都是这么想的，你说我卷那我就当做你觉得我很牛,1
