user_name,user_id,comment_time,comment,comment_dianzan
-晴ovo-,https://music.163.com/user/home?id=538674091,2021年8月24日,现在红利群16一包 我不敢心情不好,3210
你的蓝帽,https://music.163.com/user/home?id=1885671853,2021年6月24日,不会抽烟 听完这首歌我直接学会了,2750
x_xHoney,https://music.163.com/user/home?id=561290036,2021年8月25日,歌很好听 但烟要是涨价了 我跟你拼命����,1969
#NAME?,https://music.163.com/user/home?id=1910688733,2021年8月28日,所有的烟都在涨价，只有爱在贬值，越变越廉价,1439
YANGYANG4444,https://music.163.com/user/home?id=530524824,2021年6月24日,"广渠路的日落
在这城市穿梭
你会不会感同身受啊 像我这样也在想你呀",1284
来世作秋雨,https://music.163.com/user/home?id=1757123134,2021年6月24日,我的眼睛近视，经常会把路灯看成月亮,1243
低烧yu,https://music.163.com/user/home?id=391166552,2021年6月24日,我们曾经借着打水 去厕所 去操场 去办公室 去楼道 倒垃圾等借口 都是只为制造一场不经意的偶遇 到最后还是一场梦,1210
luomengna_,https://music.163.com/user/home?id=304537954,2021年10月21日,“尼古丁的绑架没有救赎，我们都是上瘾的囚徒 ”,906
MK张佳俊,https://music.163.com/user/home?id=3302665739,2021年6月25日,可是我只有一点爱了 我想给对的人.,851
王十二的宝藏,https://music.163.com/user/home?id=474629145,2021年6月24日,“我始终不明白 两个注定不会在一起的人 为什么要安排他们相遇”,665
佩佩今天有变乖吗,https://music.163.com/user/home?id=1377955478,2021年9月1日,烟草和酒精在血液里挥发换成了心尖的一个你,611
夏天必吃火锅,https://music.163.com/user/home?id=1795676400,2021年12月19日,我预感,557
腿不长的梁妹妹,https://music.163.com/user/home?id=86353154,2021年7月15日,自律的最顶端 就是在感情面前悬崖勒马,555
年年的网易云,https://music.163.com/user/home?id=1770985353,2021年10月23日,《 一 个 赞 戒 一 个 星 期 》,534
屁屁童y,https://music.163.com/user/home?id=513816569,2021年8月25日,从16块钱到17块钱再到18块钱 原来真的没有什么东西是永远不会变的,523
YI8-28,https://music.163.com/user/home?id=5016684312,28分钟前,白龙,0
7h3R3,https://music.163.com/user/home?id=3304864208,17:01,午安,1
7h3R3,https://music.163.com/user/home?id=3304864208,17:01,睡一会,1
7h3R3,https://music.163.com/user/home?id=3304864208,17:01,不知不觉下午了 今天下小雨了 心情不好,1
晚安夜酱,https://music.163.com/user/home?id=3269838323,15:25,白利,1
7h3R3,https://music.163.com/user/home?id=3304864208,14:27,起床起床,1
7h3R3,https://music.163.com/user/home?id=3304864208,14:27,第四十八天,1
_你听窗起风了,https://music.163.com/user/home?id=3340615167,13:22,会被说zha的,0
#NAME?,https://music.163.com/user/home?id=5010948999,3:31,晚安睡觉了 今天考试考的不顺心 晚安03:31,1
美食家八哥z,https://music.163.com/user/home?id=423896160,1:08,每天晚上都听这歌睡觉,1
祸僵,https://music.163.com/user/home?id=3966333832,0:59,是啊总会释怀的，谢谢,0
田伊0,https://music.163.com/user/home?id=4989401025,0:26,摸摸头，事情会越来越好的,0
