国际畅销榜012:老夫老妻,¥30.59,埃尔克·海登莱希 (Elke Heidenreich),译林出版社
国际畅销榜008:乱世未亡人,¥21.30,"莱斯利?唐纳 (Downer.L.), 张广海",译林出版社
国际畅销榜012:老夫老妻,¥16.30,埃尔克·海登莱希 (Elke Heidenreich),译林出版社
国际畅销榜008乱世未亡人,¥15.99,"莱斯利?唐纳 (Downer.L.), 张广海",译林出版社
最温柔的教养（130则实用亲子用语范例，治愈童年的自己，温暖孩子的一生）,¥38.40,吴恩瑛,中信出版社
皮特猫·3~6岁好性格养成书：第二辑（共6册）（自信、豁达、友善……荣获19项大奖的好性格榜样，在美国家喻户晓）,¥139.90,(美）金柏莉·迪安与詹姆斯·迪安著； 读客文化 出品,文汇出版社
蒲公英科学绘本（第8辑）：要不要一起钻进蚯蚓洞,¥7.30,【韩】安恩永,浙江教育出版社
蛤蟆先生去看心理医生|2020心理学畅销榜TOP1,1000000铃铛/集,,
暗夜与黎明（全2册）（世界读者平均2个通宵读完！《巨人的陨落》作者、英国国宝作家肯·福莱特新作）,¥118.00,(英)肯.福莱特 著；读客文化 出品,江苏凤凰文艺出版社
有趣的月亮观察绘本（一本读懂月亮“阴晴圆缺”好玩的书）,¥34.30,作者：[日] 大枝史郎 绘者：[日] 佐藤美纪 译者：李丹，双螺旋童书馆 出品,九州出版社
自然科学启蒙（1--4辑共24册）（彩绘版，美国优秀儿童科普读物奖获奖绘本，全系列十四辑共83册）,¥360.00,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,
臣服实验,¥22.50,（美）迈克·A. 辛格(Michael A. Singer) 著 易灵运 译,南京大学出版社
原来车子这么有趣儿系列：大力士+清道夫和特种兵+搬运工+救护员（全4册）,¥76.40,山本忠敬/著绘 艾茗/译,九州出版社
早起的奇迹,¥37.80,[美]哈尔·埃尔罗德（Hal Elrod）；易伊 译；中资海派 出品,广东人民出版社
世界尽头的咖啡馆（做决定前读一遍，少走弯路！美国57所高校指定研讨读物）,¥45.00,约翰·史崔勒基， 译者 万洁，果麦文化 出品,天津人民出版社
重建恰如其分的自尊,¥46.00,格伦?R.希拉迪,化学工业出版社
皮特猫·3~6岁好性格养成书：第三辑（共6册）（执著、坚持、梦想……荣获19项大奖的好性格榜样，在美国家喻户晓）,¥139.90,金柏莉·迪安与詹姆斯·迪安 著 读客文化 出品,文汇出版社
迷(国际畅销榜),¥12.98,Ali Smith,译林出版社
东野圭吾畅销榜单佳作2册:嫌疑人X的献身+白夜行,¥74.66,无,南海出版公司
迷(国际畅销榜),¥16.18,Ali Smith,译林出版社
抖音,¥105.80,清 汪昂,中医古籍出版社
挪威童书畅销榜作品：雪地天使,¥53.90,"[挪威]马娅·伦德,[挪威]丽莎·艾萨托",浙江文艺出版社
樊登,¥38.00,马修?沃克,北京联合出版有限责任公司
沉思录,¥17.40,马可.奥勒留 青豆书坊 出品,中央编译出版社
男孩、鼹鼠、狐狸和马（三川玲真情推荐！当代《小王子》！）,¥88.00,查理·麦克西 著，新经典 出品,北京联合出版有限公司
追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜超100周）,¥26.50,[美]卡勒德·胡赛尼（Khaled Hosseini） 著，李继宏 译,上海人民出版社
皮特猫·3~6岁好性格养成书：第四辑（共6册）（宽容、体贴、接纳……荣获19项大奖的好性格榜样，在美国家喻户晓）,¥139.90,金柏莉·迪安与詹姆斯·迪安著；读客文化 出品,文汇出版社
真希望我父母读过这本书,¥31.20,菲莉帕·佩里（Philippa Perry）,中信出版社
自然科学启蒙（5--9辑共30册）（彩绘版，美国优秀儿童科普读物奖获奖绘本，全系列十四辑共83册）,¥450.00,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 等译,北京联合出版公司
重建恰如其分的自尊,¥46.05,格伦?R.希拉迪,化学工业出版社
理想国,¥30.50,柏拉图,中国华侨出版社
蒲公英科学绘本（第8辑）：我们一天天长大,¥7.30,【韩】李银禧,浙江教育出版社
跑步圣經,¥51.00,赫尔伯特·史迪凡尼,北京科学技术出版社
【正版】暗杀大师2：英国刺客（横扫37国的重磅悬疑小说！),¥23.00,（美）丹尼尔·席尔瓦,江苏凤凰文艺出版社
【旗舰店直营】饥饿：一部身体的回忆录,¥50.27,罗克珊?盖伊,南海出版公司
养育男孩（典藏版）,¥39.00,(澳) 史蒂夫·比达尔夫,中信出版社
孩子最喜欢的科普系列,¥18.70,张永梅,黑龙江美术出版社
什么都行魔法商店（全1-5册）,¥177.10,（日）安昼安子,山东人民出版社
沉默的病人（世界狂销300万册的烧脑神作！多少看似完美的夫妻，都在等待杀死对方的契机）（读客悬疑文库）,¥45.00,(英)亚历克斯·麦克利兹 著;读客文化 出品,河南文艺出版社
自然科学启蒙（10--14辑共29册）（彩绘版，美国优秀儿童科普读物奖获奖绘本，全系列十四辑共83册）,¥435.00,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,北京联合出版公司
《乌合之众》精读|社会心理学畅销榜TOP1（全新修订版）,¥14.99,,
成为可怕的自律人（把拖延症瞬间变得超级自律的自我提问法！作者曾帮助70位CEO、300位企业高管成为可怕的自律人！赠自律,¥55.00,[美] 马歇尔·古德史密斯（Marshall Goldsmith）[美] 马克·莱特尔（Mark,文汇出版社
小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,¥39.80,博多·舍费尔,中信出版社
儿童反霸凌启蒙教育畅销榜绘本全套16册,¥49.80,肖辉,成都地图出版社
蒲公英科学绘本（第8辑）：蝴蝶的100枚卵去哪儿了？,¥7.30,【韩】权赫都,浙江教育出版社
特别会说话的人都这样说话（看过这141个案例，职场会说话，办事就开挂！日本上市半年狂销26万册！多次登顶日本纸书销售！,¥49.90,（日）大野萌子(Moeko Ono)；读客文化 出品,文汇出版社
小狗钱钱（套装2册）（附赠免费亲子财商课+理财秘籍思维导图）,¥79.60,博多·舍费尔,中信出版社
月亮与六便士（全新未删节插图珍藏版！免费赠英文原版《月亮与六便士》1册！读经典名著，认准作家榜！拒绝山寨！）,¥59.90,[英] 毛姆 著，作家榜经典 出品，徐淳刚 译，大星文化,浙江文艺出版社
希望之线（东野圭吾新代表作，高分作品TOP5！）,¥59.00,（日）东野圭吾 著 ， 新经典 出品,南海出版公司
洛克菲勒留给儿子的38封信,¥21.60,（美）洛克菲勒 原著，张占磊 编译 知书达礼 出品,中华工商联合出版社
轻疗愈：15分钟快速减压、实现身心平衡（简单、迅速、有效舒缓常见的11种情绪困扰，亚马逊畅销榜NO.1，已售30国版权、,¥31.20,(美) 尼克·奥特纳著；美 同 译；中资海派 出品,当代中国出版社
自然科学启蒙第1辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥90.00,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,
猫武士二部曲——新的预言（全6册）,¥115.20,艾琳·亨特,中国少年儿童出版社
正版秘密全集秘密书籍畅销榜吸引力法则全套6册英雄力量魔力密秘实践版秘密thesecret如何改变我们的生活青春励志成功小,¥140.00,郎达拜恩,其他
陪孩子走过小学六年（全新增订版）（新版）,¥45.00,刘称莲,北京联合出版公司
漫漫求水路-蒲公英海外优秀儿童文学书系10,¥18.00,"[美]琳达·休·帕克 著,肖毛 译",贵州人民出版社
皮特猫·3~6岁好性格养成书：共四辑（套装5~8辑）（求知、好学、爱探索、有耐心……荣获19项大奖的好性格榜样，在美国家,¥559.60,[美]詹姆斯.迪安 著；读客文化 出品,文汇出版社
聪明却混乱的孩子：利用“执行技能训练”提升孩子学习力和专注力,¥47.40,[美] 佩格·道森（Peg Dawson） [美] 理查德·奎尔（Richard G,机械工业出版社
教父（9项奥斯卡电影《教父》原著。《教父》是男人的哲学，智慧的总和，一切问题的答案！美国出版史重磅畅销书！）,¥45.00,马里奥·普佐 著；读客文化 出品,江苏文艺出版社
自然科学启蒙第2辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥90.00,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,北京联合出版公司
夜莺（与石黑一雄《被掩埋的巨人》一同提名国际都柏林文学奖；要经历多少次崩溃，才能成为真正的自己）,¥66.60,[美]克莉丝汀·汉娜,北京联合出版有限公司
时光小旅馆（那个你念念不忘的人，其实也从未忘记过你。世界范围内狂销200万册，畅销整整10年！）（读客外国小说文库）,¥49.00,(美)杰米·福特 著；读客文化 出品,上海文艺出版社
一个叫欧维的男人决定去死：精装版（林彦俊、IU李知恩、赵又廷推荐。稳居46国畅销书榜10年的幸福之书，豆瓣9.0高分）,¥56.80,【瑞典】弗雷德里克·巴克曼 著 宁蒙 译,四川文艺出版社
为什么是中国（金一南重磅作品，连续两年高居畅销榜，发行量超100万册。后疫情时代，中国的优势和未来在哪里？面对全球百年未,¥34.20,金一南著 、联合读创 出品,北京联合出版有限公司
知行合一王阳明（百万读者的心学入门书！深入解读知行合一及其创始人王阳明的通俗全传！樊登读书、书单来了等媒体推荐！）,¥49.90,度阴山；读客文化 出品,江苏凤凰文艺出版社
东野圭吾：祈念守护人（东野圭吾2020年全新长篇，全球同步发售）,¥59.00,（日）东野圭吾 著 ， 新经典 出品,南海出版公司
带我回家（我们终其一生，都在寻找被爱的证据。震撼整个北美的飙泪大作！）,¥41.80,【加】乔安娜·古德曼,中国友谊出版公司
羊皮卷大全集（畅销珍藏本）,¥28.60,（美曼狄诺 等著，张权 编译 知书达礼 出品,黑龙江科学技术出版社
【官方直发】我们为什么要睡觉,¥49.88,马修?沃克,北京联合出版有限责任公司
晚安，工地上的车（小车迷床头的晚安书）,¥56.80,[美]谢丽·达斯基·瑞科尔/著；[美]汤姆·利希藤黑尔徳/绘；阿甲/译,海豚出版社
我们为什么要睡觉？,¥36.00,[英]马修·沃克（Matthew Walker），译者：田盈春 后浪,北京联合出版有限公司
生命的重建（心灵导师路易丝.海的成名代表作，献给你的改变生命之书。《纽约时报》畅销书排行榜50周第1名，译成25种文字！,¥13.40,（美）露易丝·海 著，徐克茹 译,中国宇航出版社
身体由我：关于了不起的女性身体的一切,¥34.50,【德】 希拉·德利兹 著，【德】 路易莎·施托默尔 绘,北京科学技术出版社
新版一分钟经理人（2015版）,¥35.00,（美）布兰佳，（美）约翰逊 著，周晶 译，新经典 出品,南海出版公司
范冰冰推荐,¥45.00,[英]麦克尔·莫斯利 [英]咪咪·史宾赛 著；读客文化 出品,文汇出版社
艺术哲学（零基础轻松看懂艺术哲学，提高艺术修养和审美品位！傅雷经典全译本，未删节全彩插图珍藏版！）作家经典文库,¥198.00,[法] 丹纳 著，傅雷 译，作家榜经典 出品，大星文化,中信出版社
作家榜经典：对称与不对称（诺贝尔物理学奖得主李政道，给年轻人的18堂物理科普课。改变你一生的思维方式，照亮内心的宇宙星辰,¥52.00,李政道（诺贝尔物理学奖得主） 著，作家榜经典 出品，朱允伦 柳怀祖 译,中信出版社
自然科学启蒙第4辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥90.00,（美）弗兰克林 . 布兰利 博士 等编绘，余国芳 译,北京联合出版公司
DK万物运转的秘密（修订版）,¥164.60,（英）David Macaulay（大卫·麦考利），Neil Ardley（尼尔·阿德利）,电子工业出版社
启发幼儿百科全书（第一阶全13册）邓超推荐《是谁嗯嗯在我的头上》+自然科学启蒙第一辑第二辑（国际大奖幼儿科普绘本）,¥215.80,文：〔德〕维尔纳霍尔茨瓦特（WernerHolzwarth），（美）弗兰克林,北京联合出版公司
动物动物动起来：在海洋,¥298.00,[美] 卡罗尔·考夫曼（Carol Kaufmann），绘者：[美] 丹·凯南,花山文艺出版社
猫武士七部曲--破灭守则（全3册）,¥57.60,（英）艾琳.亨特 著 狼羽 译,中国少年儿童出版社
神逻辑：不讲道理的人怎么总有理！,¥58.40,阿里·阿莫萨维 著 ，新经典 出品,北京联合出版有限公司
蛤蟆先生去看心理医生+别生气啦(全2册),¥77.80,罗伯特·戴博德，小池龙之介，果麦文化 出品,天津人民出版社
南京大屠杀:第二次世界大战中被遗忘的大浩劫（《南京浩劫：被遗忘的大屠杀》）,¥33.80,【美】张纯如（Iris Chang）,中信出版社
认知天性：让学习轻而易举的心理学规律,¥37.50,[英] 彼得·布朗，亨利·勒迪格三世，马克·麦克丹尼尔,中信出版社
陪孩子走过初中三年（全新增订版）（新版）（2019版）,¥45.00,刘称莲,北京联合出版公司
自然科学启蒙第7辑（共6册）（彩绘版，美国优秀儿童科普读物奖，全套十四辑共83册）,¥90.00,（美）弗兰克林 . 布兰利 博士 等编绘 ，范晓星 等 译,北京联合出版公司
诺贝尔文学*作品畅销榜文库：费兰德公路农事诗,¥65.00,[俄罗斯]帕斯基尔纳克,漓江出版社
佰亿书店正版国际畅销榜：美丽的谎言9787544753784图书籍,¥35.04,[英]爱尔凡·马斯提尔,江苏译林出版社
艾莉诺好极了（英美畅销榜榜单图书，感动40国读者，全球88个版本）,¥26.90,未读 出品 [英]盖尔·霍尼曼（Gai,北京联合出版有限公司
走向加特林堡(国际畅销榜),¥13.64,"(美)莫谢尔 著,李智微 译",译林出版社
游戏人间,¥14.74,贾平凹/著,百花洲文艺出版社
